name,submission_time,pending_time,staying_time,completion_time,num_restarts,max_progress,target_num_gpus
vit@frgfm#imagenette-0,45,255,474.16124963760376,519.1612496376038,1,85221.0,16
vit@imagenet-split-1-1,92,208,679.3224992752075,771.3224992752075,2,750000,20
vit@Bingsu#Cat_and_Dog-2,766,134,224.16124963760376,990.1612496376038,1,63680.0,4
vit@food101-3,786,114,1664.644998550415,2450.644998550415,4,757500.0,4
vit@imagenet-split-0-4,1280,220,459.16124963760376,1739.1612496376038,1,250000.0,11
vit@Bingsu#Cat_and_Dog-5,1322,478,547.1612496376038,1869.1612496376038,1,63680.0,8
vit@mnist-6,1576,224,1471.644998550415,3047.644998550415,4,600000.0,1
vit@Bingsu#Cat_and_Dog-7,1747,53,122.16124963760376,1869.1612496376038,1,63680.0,8
vit@imagenet-split-2-8,1987,113,2126.806248188019,4113.806248188019,5,1000000.0,4
vit@imagenet-split-1-9,2229,171,899.4837489128113,3128.4837489128113,3,750000,6
vit@imagenet-split-2-10,2296,104,2099.806248188019,4395.806248188019,5,1000000.0,4
vit@imagenet-split-1-11,2634,66,742.4837489128113,3376.4837489128113,3,750000,5
vit@imagenet-split-0-12,2660,640,920.1612496376038,3580.1612496376038,1,250000.0,5
vit@mnist-13,3002,598,1709.3224992752075,4711.3224992752075,2,600000.0,8
vit@mnist-14,3002,598,1709.3224992752075,4711.3224992752075,2,600000.0,8
vit@imagenet-split-0-15,3014,586,877.1612496376038,3891.1612496376038,1,250000.0,4
vit@imagenet-split-1-16,3350,250,968.1612496376038,4318.161249637604,1,750000,4
vit@frgfm#imagenette-17,3459,141,318.16124963760376,3777.1612496376038,1,85221.0,4
vit@frgfm#imagenette-18,3853,47,224.16124963760376,4077.1612496376038,1,85221.0,4
vit@frgfm#imagenette-19,4072,128,305.16124963760376,4377.161249637604,1,85221.0,4
vit@Bingsu#Cat_and_Dog-20,4256,244,313.16124963760376,4569.161249637604,1,63680.0,8
vit@Bingsu#Cat_and_Dog-21,4295,205,274.16124963760376,4569.161249637604,1,63680.0,8
vit@mnist-22,4853,247,1619.4837489128113,6472.483748912811,3,600000.0,4
vit@fashion_mnist-23,4853,247,637.1612496376038,5490.161249637604,1,600000.0,7
vit@food101-24,4906,194,1774.4837489128113,6680.483748912811,3,757500.0,4
vit@food101-25,4906,194,1774.4837489128113,6680.483748912811,3,757500.0,4
vit@fashion_mnist-26,5098,602,962.1612496376038,6060.161249637604,1,600000.0,8
vit@imagenet-split-2-27,6003,297,2009.1612496376038,8012.161249637604,1,1000000.0,4
vit@food101-28,6111,189,1649.3224992752075,7760.3224992752075,2,757500.0,1
vit@fashion_mnist-29,6432,168,729.1612496376038,7161.161249637604,1,600000.0,4
vit@mnist-30,6467,133,1370.3224992752075,7837.3224992752075,2,600000.0,1
vit@frgfm#imagenette-31,6828,72,249.16124963760376,7077.161249637604,1,85221.0,4
vit@mnist-32,6858,42,1293.4837489128113,8151.483748912811,3,600000.0,4
vit@cifar100-33,7000,200,971.4837489128113,7971.483748912811,3,500000.0,1
vit@frgfm#imagenette-34,7190,10,187.16124963760376,7377.161249637604,1,85221.0,4
vit@imagenet-split-0-35,7246,254,545.1612496376038,7791.161249637604,1,250000.0,4
vit@cifar100-36,7246,254,727.1612496376038,7973.161249637604,1,500000.0,4
vit@imagenet-split-1-37,7328,172,890.1612496376038,8218.161249637604,1,750000,4
vit@cifar100-38,7430,70,543.1612496376038,7973.161249637604,1,500000.0,4
vit@imagenet-split-1-39,7490,10,856.4837489128113,8346.483748912811,3,750000,4
vit@Bingsu#Cat_and_Dog-40,7516,284,529.1612496376038,8045.161249637604,1,63680.0,1
vit@cifar100-41,7670,130,697.3224992752075,8367.322499275208,2,500000.0,4
vit@mnist-42,7719,81,1399.8062481880188,9118.806248188019,5,600000.0,2
vit@mnist-43,7774,26,1344.8062481880188,9118.806248188019,5,600000.0,2
vit@imagenet-split-0-44,7814,286,951.3224992752075,8765.322499275208,2,250000.0,1
vit@Bingsu#Cat_and_Dog-45,7949,151,294.16124963760376,8243.161249637604,1,63680.0,2
vit@fashion_mnist-46,8016,84,1238.644998550415,9254.644998550415,4,600000.0,2
vit@cifar100-47,8044,56,1087.644998550415,9131.644998550415,4,500000.0,1
vit@imagenet-split-1-48,8065,35,1158.4837489128113,9223.483748912811,3,750000,2
vit@Bingsu#Cat_and_Dog-49,8067,33,176.16124963760376,8243.161249637604,1,63680.0,2
vit@imagenet-split-1-50,8169,231,1267.4837489128113,9436.483748912811,3,750000,4
vit@imagenet-split-1-51,8245,155,1191.4837489128113,9436.483748912811,3,750000,4
vit@cifar100-52,8260,140,778.3224992752075,9038.322499275208,2,500000.0,1
vit@imagenet-split-0-53,8264,136,604.3224992752075,8868.322499275208,2,250000.0,1
vit@imagenet-split-1-54,8267,433,1401.4837489128113,9668.483748912811,3,750000,4
vit@Bingsu#Cat_and_Dog-55,8364,36,281.16124963760376,8645.161249637604,1,63680.0,1
vit@imagenet-split-1-56,8389,611,1640.644998550415,10029.644998550415,4,750000,7
vit@Bingsu#Cat_and_Dog-57,8718,282,425.16124963760376,9143.161249637604,1,63680.0,2
vit@cifar100-58,8748,252,956.4837489128113,9704.483748912811,3,500000.0,2
vit@imagenet-split-2-59,8767,233,2316.806248188019,11083.806248188019,5,1000000.0,4
vit@cifar100-60,8768,232,1053.4837489128113,9821.483748912811,3,500000.0,2
vit@frgfm#imagenette-61,8821,179,407.16124963760376,9228.161249637604,1,85221.0,2
vit@Bingsu#Cat_and_Dog-62,8909,91,234.16124963760376,9143.161249637604,1,63680.0,2
vit@Bingsu#Cat_and_Dog-63,8910,90,233.16124963760376,9143.161249637604,1,63680.0,2
vit@frgfm#imagenette-64,9026,274,465.16124963760376,9491.161249637604,1,85221.0,3
vit@frgfm#imagenette-65,9147,453,681.1612496376038,9828.161249637604,1,85221.0,2
vit@food101-66,9491,109,1595.4837489128113,11086.483748912811,3,757500.0,4
vit@frgfm#imagenette-67,9538,62,290.16124963760376,9828.161249637604,1,85221.0,2
vit@frgfm#imagenette-68,9538,62,290.16124963760376,9828.161249637604,1,85221.0,2
vit@frgfm#imagenette-69,9538,62,290.16124963760376,9828.161249637604,1,85221.0,2
vit@frgfm#imagenette-70,9538,62,290.16124963760376,9828.161249637604,1,85221.0,2
vit@frgfm#imagenette-71,9538,62,290.16124963760376,9828.161249637604,1,85221.0,2
vit@frgfm#imagenette-72,9538,62,290.16124963760376,9828.161249637604,1,85221.0,2
vit@frgfm#imagenette-73,9539,61,289.16124963760376,9828.161249637604,1,85221.0,2
vit@Bingsu#Cat_and_Dog-74,9539,61,204.16124963760376,9743.161249637604,1,63680.0,2
vit@imagenet-split-0-75,9612,288,547.1612496376038,10159.161249637604,1,250000.0,6
vit@Bingsu#Cat_and_Dog-76,9707,493,583.1612496376038,10290.161249637604,1,63680.0,4
vit@frgfm#imagenette-77,10052,148,325.16124963760376,10377.161249637604,1,85221.0,4
vit@mnist-78,10408,92,1133.1612496376038,11541.161249637604,1,600000.0,4
vit@Bingsu#Cat_and_Dog-79,10414,86,176.16124963760376,10590.161249637604,1,63680.0,4
vit@frgfm#imagenette-80,10462,38,215.16124963760376,10677.161249637604,1,85221.0,4
vit@Bingsu#Cat_and_Dog-81,10587,213,458.16124963760376,11045.161249637604,1,63680.0,1
vit@food101-82,10617,183,1488.1612496376038,12105.161249637604,1,757500.0,4
vit@imagenet-split-2-83,10617,183,1895.1612496376038,12512.161249637604,1,1000000.0,4
vit@food101-84,10618,182,1487.1612496376038,12105.161249637604,1,757500.0,4
vit@food101-85,10618,182,1487.1612496376038,12105.161249637604,1,757500.0,4
vit@imagenet-split-2-86,10620,180,1951.3224992752075,12571.322499275208,2,1000000.0,4
vit@frgfm#imagenette-87,10835,265,442.16124963760376,11277.161249637604,1,85221.0,4
vit@fashion_mnist-88,10851,249,1007.4837489128113,11858.483748912811,3,600000.0,4
vit@frgfm#imagenette-89,11194,206,434.16124963760376,11628.161249637604,1,85221.0,2
vit@frgfm#imagenette-90,11370,30,258.16124963760376,11628.161249637604,1,85221.0,2
vit@Bingsu#Cat_and_Dog-91,11370,30,173.16124963760376,11543.161249637604,1,63680.0,2
vit@frgfm#imagenette-92,11696,4,181.16124963760376,11877.161249637604,1,85221.0,4
vit@frgfm#imagenette-93,11714,286,463.16124963760376,12177.161249637604,1,85221.0,4
vit@mnist-94,12013,287,1654.644998550415,13667.644998550415,4,600000.0,6
vit@frgfm#imagenette-95,12033,267,444.16124963760376,12477.161249637604,1,85221.0,4
vit@Bingsu#Cat_and_Dog-96,12036,264,354.16124963760376,12390.161249637604,1,63680.0,4
vit@frgfm#imagenette-97,12037,263,440.16124963760376,12477.161249637604,1,85221.0,4
vit@Bingsu#Cat_and_Dog-98,12079,221,311.16124963760376,12390.161249637604,1,63680.0,4
vit@imagenet-split-2-99,12082,218,2460.1287474632263,14542.128747463226,7,1000000.0,4
vit@Bingsu#Cat_and_Dog-100,12378,222,291.16124963760376,12669.161249637604,1,63680.0,8
vit@imagenet-split-1-101,12456,144,707.3224992752075,13163.322499275208,2,750000,6
vit@frgfm#imagenette-102,12633,267,472.16124963760376,13105.161249637604,1,85221.0,6
vit@Bingsu#Cat_and_Dog-103,12840,360,436.16124963760376,13276.161249637604,1,63680.0,6
vit@imagenet-split-1-104,12970,230,911.4837489128113,13881.483748912811,3,750000,4
vit@Bingsu#Cat_and_Dog-105,13108,392,637.1612496376038,13745.161249637604,1,63680.0,1
vit@fashion_mnist-106,13205,295,847.3224992752075,14052.322499275208,2,600000.0,4
vit@frgfm#imagenette-107,13468,32,244.16124963760376,13712.161249637604,1,85221.0,5
vit@fashion_mnist-108,13470,30,582.3224992752075,14052.322499275208,2,600000.0,4
vit@imagenet-split-2-109,13613,187,2396.28999710083,16009.28999710083,8,1000000.0,6
vit@Bingsu#Cat_and_Dog-110,13911,189,265.16124963760376,14176.161249637604,1,63680.0,6
vit@food101-111,14031,69,1738.9674978256226,15769.967497825623,6,757500.0,5
vit@Bingsu#Cat_and_Dog-112,14066,334,424.16124963760376,14490.161249637604,1,63680.0,4
vit@food101-113,14109,291,1933.9674978256226,16042.967497825623,6,757500.0,6
vit@cifar100-114,14275,125,566.3224992752075,14841.322499275208,2,500000.0,8
vit@frgfm#imagenette-115,14353,47,224.16124963760376,14577.161249637604,1,85221.0,4
vit@imagenet-split-1-116,15073,227,949.4837489128113,16022.483748912811,3,750000,2
vit@imagenet-split-0-117,15165,735,994.1612496376038,16159.161249637604,1,250000.0,6
vit@imagenet-split-1-118,15342,558,1126.3224992752075,16468.322499275208,2,750000,8
vit@fashion_mnist-119,15496,704,1084.3224992752075,16580.322499275208,2,600000.0,16
vit@Bingsu#Cat_and_Dog-120,16030,170,239.16124963760376,16269.161249637604,1,63680.0,8
vit@Bingsu#Cat_and_Dog-121,16033,167,236.16124963760376,16269.161249637604,1,63680.0,8
vit@frgfm#imagenette-122,16772,28,205.16124963760376,16977.161249637604,1,85221.0,4
vit@frgfm#imagenette-123,16773,27,204.16124963760376,16977.161249637604,1,85221.0,4
